"מפקד האוכלוסין 2022 - נתונים נבחרים, לפי יישובים ואזורים סטטיסטיים ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שם יישוב,סמל יישוב,אזור סטטיסטי,שם אזור סטטיסטי,סך הכל אוכלוסייה,אחוז שינוי ממפקד האוכלוסין 2008,"צפיפות אוכלוסייה (לקמ""ר)",סמל דת עיקרית,שם דת עיקרית,יחס מינים,אחוז דיירי מוסדות,אחוז זרים,אחוז בני 19-0,אחוז בני 64-20,אחוז בני 65 ומעלה,יחס תלות לאלף נפשות,גיל חציוני,גיל חציוני - זכרים,גיל חציוני - נקבות,אחוז נשואים בני 34-18 ,אחוז נשואים בני 54-45 ,יהודים ואחרים ילידי ישראל,"יהודים ואחרים ילידי חו""ל",אחוז יהודים ואחרים שעלו משנת 2002 ואילך,אחוז יהודים ואחרים שעלו משנת 2010 ואילך,אחוז יהודים ואחרים שיבשת מוצאם ישראל,אחוז יהודים ואחרים שיבשת מוצאם אסיה,אחוז יהודים ואחרים שיבשת מוצאם אפריקה,אחוז יהודים ואחרים שיבשת מוצאם אירופה,אחוז יהודים ואחרים שיבשת מוצאם אמריקה ואוקיאניה,שם ארץ מוצא עיקרית,גיל נישואין חציוני,גיל נישואין חציוני - זכרים,גיל נישואין חציוני - נקבות,מספר ילדים ממוצע לאישה עד המועד הקובע,אחוז בני 5 ומעלה המתקשים מאוד או אינם יכולים כלל,אחוז בני 65 ומעלה המתקשים מאוד או אינם יכולים כלל,אחוז בני 15 ומעלה בעלי השכלה אקדמית ,"אחוז בני 15 ומעלה שעבדו ב-12 החודשים שקדמו למועד הקובע
",אחוז שכירים ,אחוז עצמאים ,ממוצע שעות עבודה ,"אחוז בני 17-15 שעבדו ב 12 החודשים שקדמו למועד הקובע
",אחוז עובדים מחוץ ליישוב המגורים,"הכנסה חציונית שנתית מעבודה של שכירים
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
כלל ארצי,,,,9601720,26.7,,1,יהודים,99.2,,,35.4,52.2,12.4,914,30,29,31,36.9,76.2,76.1,23.9,25.3,16.5,47.3,8.6,12.1,27.2,4.8,ישראל,24,26,23,2.2,8.9,33.4,25.8,66.2,86.8,12.7,38.4,13.5,50.6,104300,20,80900,20,3053450,3,22.6,22.3,חילוני,1,1.3,26.4,30.3,62.9,59.3,31.6
אבו גוש,472,,,8660,39.8,6558.4,2,מוסלמים,114.3,0.1,5.9,33.3,60.7,6,648.2,28,29,28,41.4,85.4,,,,,,,,,,,25,28,22,2.4,9.7,47.5,16,62.4,90.8,8.8,37.8,11.1,75.4,88500,6.3,53800,19,2400,3.4,26.4,37.5,דתי/ דתי מאוד,3,0.8,25,30.3,53.3,54.7,21.4
אבו סנאן,473,,,13900,13.4,6015.2,2,מוסלמים,108,,0.2,32.6,59.5,7.9,681.3,29,27,30,37.7,87.9,,,,,,,,,,,24,26,22,2.4,11.5,43.5,14,59.4,84.6,15.1,38.6,1.7,67.8,78000,7.8,68200,11.5,3930,3.5,25.2,30.8,מסורתי,2,1,18,38.9,76.4,78.4,4.9
אבו סנאן,473,1,1,5100,,,5,דרוזים,99.8,,,33.9,58.4,7.6,710.9,29,27,30,40,88.7,,,,,,,,,,,24,27,22,2.5,14,46,15.1,58.5,84.9,15.1,37.7,3.1,60.7,85500,8.9,66100,6.4,1210,3.9,28.7,27.6,מסורתי,2,1,13.3,42.6,81.6,79.6,7.4
אבו סנאן,473,2,2,3250,,,2,מוסלמים,102,,,29.8,62.2,8.1,609,29,28,32,34.4,86.8,,,,,,,,,,,24,26,22,2.5,14.1,55.8,15.7,56.7,86.6,13.4,38.5,3.2,72.2,74700,7.8,47500,9.1,860,3.3,19.9,33.8,מסורתי,2,1,19.9,36.3,69.6,75.7,5.3
אבו סנאן,473,3,3,5550,,,2,מוסלמים,120.2,,,33,58.9,8.1,698.8,28,27,30,37.7,87.9,,,,,,,,,,,23,25,21,2.5,9.3,33.7,11.7,59.4,83.1,16.9,39.2,,70.2,75500,7.4,70000,11.4,1370,3.7,25,31.4,מסורתי,2,1,18.4,38.8,77.1,84.1,2.3
אבו קורינאת (יישוב),1342,,,2370,125.2,2366.9,2,מוסלמים,116.1,,0,59.5,39.6,0.9,1526.7,15,15,17,70.8,87.9,,,,,,,,,,,21,22,19,3.4,5.8,100,3.9,36.4,92.8,7.2,41.2,,26.3,74500,,42400,,490,4.9,73.3,59.3,אחר,6,0.2,35.2,2.2,49.7,67.7,2.8
אבו תלול,1375,,,4980,,3075.9,2,מוסלמים,84.5,,,53.8,41.6,4.6,1401.9,18,19,17,61.6,74.3,,,,,,,,,,,20,21,19,3.6,16.3,95.9,4.6,23.5,100,,35.1,,52.3,75200,10.3,,,1210,4.1,39.8,49,מסורתי,2,0.3,42.7,4.6,61.2,92.8,
אבטין,652,,,2750,16,7437.9,2,מוסלמים,103.6,,0.2,39,56.1,4.9,781.5,25,24,26,46.2,84.8,,,,,,,,,,,24,25,22,2.2,12.8,53.3,6.5,51.7,92.2,7.8,32.9,,77.4,64900,0.7,48800,27.5,680,4.1,30.5,33,מסורתי,2,0.6,23.2,21.8,60,56.3,7.9
